#Z=0.04 
#M/Msun    H        He4       Li7       C12       C13       N14       O16       O17       O18        NE20      NE22      NA23     MG24       MG25      MG26      AL27      SI28     Mf
  init   0.660      0.30     1e-8      6.92e-3  9.96e-5   2.02e-3   1.87e-2   7.20e-06  3.90e-05   4.20e-03  2.71e-04  8.32e-05  1.60e-03      -         -     1.44e-04  1.76e-03  
  8.00 -5.96e-01  5.92e-01  6.61e-08 -4.26e-02  5.88e-04  7.54e-02 -2.94e-02  2.20e-04 -2.64e-04  -1.23e-05 -1.50e-03  1.62e-03 -7.87e-05  7.84e-05  2.33e-07  0.00e+00  0.00e+00  1.20
  7.00 -5.22e-01  5.18e-01  1.25e-07 -3.72e-02  5.29e-04  6.28e-02 -2.27e-02  2.62e-04 -2.32e-04   2.99e-06 -1.24e-03  1.31e-03 -1.53e-04  1.66e-04  2.45e-07  3.27e-07  6.92e-06  1.05
  6.50 -4.38e-01  4.35e-01  1.03e-07 -3.44e-02  4.94e-04  5.69e-02 -1.97e-02  2.19e-04 -2.14e-04  -9.92e-08 -1.14e-03  1.20e-03 -8.70e-05  9.66e-05  1.57e-07  3.28e-07  5.80e-06  1.03
  6.00 -3.53e-01  3.50e-01  9.16e-08 -3.14e-02  4.35e-04  5.12e-02 -1.71e-02  1.70e-04 -1.95e-04  -1.30e-05 -1.03e-03  1.10e-03 -5.58e-05  6.19e-05  1.40e-07  3.23e-07  4.70e-06  0.97
  5.50 -2.65e-01  2.62e-01  5.51e-08 -2.89e-02  2.76e-04  4.59e-02 -1.41e-02  1.52e-04 -1.77e-04  -6.74e-07 -9.87e-04  1.04e-03 -3.59e-05  4.11e-05  9.41e-08  2.27e-07  3.48e-06  0.94
  5.00 -1.91e-01  1.88e-01  6.02e-08 -2.57e-02  3.10e-04  3.93e-02 -1.09e-02  1.29e-04 -1.58e-04  -7.33e-06 -7.88e-04  7.92e-04 -1.48e-05  1.76e-05  3.93e-08  1.98e-07  2.46e-06  0.90
  4.50 -1.12e-01  1.09e-01  3.85e-08 -2.25e-02  2.56e-04  3.27e-02 -7.61e-03  9.98e-05 -1.38e-04  -4.13e-06 -5.81e-04  5.87e-04 -5.59e-06  7.20e-06  1.49e-08  1.09e-07  1.45e-06  0.88
  4.00 -8.63e-02  8.38e-02  2.82e-08 -1.92e-02  2.16e-04  2.71e-02 -5.57e-03  7.31e-05 -1.17e-04  -2.10e-06 -4.63e-04  4.72e-04 -1.03e-07  1.13e-06  3.56e-09  9.51e-08  9.51e-07  0.84
  3.50 -9.61e-02  8.19e-02  8.83e-10  3.78e-03  6.12e-04  1.06e-02 -3.92e-03  8.54e-05 -3.23e-05   2.12e-05  1.79e-03  4.35e-05 -1.25e-05  1.24e-04  6.98e-05  7.49e-05  9.73e-04  0.79
  3.00 -7.89e-02  6.57e-02  4.50e-11  5.03e-03  2.91e-04  8.25e-03 -2.41e-03  9.72e-05 -2.35e-05  -7.88e-07  1.78e-03  3.48e-05 -8.11e-06  6.62e-05  4.27e-05  7.69e-06  1.03e-06  0.74
  2.50 -4.93e-02  4.25e-02  5.54e-11  1.06e-03  2.29e-04  6.05e-03 -1.44e-03  1.18e-04 -1.81e-05  -2.79e-06  8.20e-04  1.53e-05 -2.03e-06  1.88e-05  1.46e-05  1.21e-06  6.55e-07  0.70
  2.00 -2.62e-02  1.86e-02 -1.33e-08  2.66e-03  1.66e-04  3.72e-03 -4.00e-04  9.98e-04 -1.20e-05   0.00e+00  1.88e-04  3.93e-06  0.00e-00  0.00e-00  0.00e-00  0.00e-00  0.00e-00  0.67
  1.50 -1.31e-03  1.31e-02 -8.70e-09 -1.74e-03  1.22e-04  1.83e-03  0.00e+00  4.35e-06 -6.09e-06   0.00e+00  0.00e-00  0.00e-00  0.00e-00  0.00e-00  0.00e-00  0.00e-00  0.00e-00  0.63
  1.25 -1.30e-02  1.30e-02 -6.50e-09 -9.75e-04  8.45e-05  1.04e-03  0.00e+00  1.04e-07 -3.25e-06   0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.59  
  1.00 -1.47e-02  1.47e-02 -6.40e-09 -6.40e-04  7.68e-05  6.40e-04  0.00e+00  1.54e-07 -1.60e-06   0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.56
